Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Debtor Days,82,67,76,64,75
Inventory Days,40,65,38,42,45
Days Payable,65,88,85,88,95
Cash Conversion Cycle,56,44,29,18,26
Working Capital Days,63,7,2,-14,0
ROCE %,,21%,21%,16%,20%
