Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,18,17,20,23,25,24,18,24,34
Inventory Days,99,96,117,124,114,120,99,93,103
Days Payable,140,134,143,161,129,131,110,119,128
Cash Conversion Cycle,-24,-20,-7,-14,10,13,8,-3,9
Working Capital Days,-8,-7,3,-1,13,16,1,-5,0
ROCE %,,32%,29%,18%,10%,8%,9%,13%,11%
