Metric,Sep 2006,Sep 2007,Mar 2025,Mar 2026
Debtor Days,151.76,301.83,,0.00
Inventory Days,227.33,439.82,,0.00
Days Payable,87.42,77.30,,
Cash Conversion Cycle,291.67,664.35,,0.00
Working Capital Days,316.99,773.18,,78.36
ROCE %,,-6.68%,,-16.31%
