Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,266,255,223,225,196,212
Inventory Days,0,0,0,0,0,
Days Payable,,,,,,
Cash Conversion Cycle,266,255,223,225,196,212
Working Capital Days,141,124,101,92,99,103
ROCE %,,7%,7%,9%,12%,9%
