Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,91,101,99,83,59,87,66,80,44,76,74,78
Inventory Days,125,160,208,234,347,594,441,380,309,245,306,290
Days Payable,95,113,147,183,169,260,169,154,109,182,192,147
Cash Conversion Cycle,122,148,160,134,237,421,338,306,244,139,189,221
Working Capital Days,-61,-49,33,54,43,70,54,67,-18,9,40,96
ROCE %,3%,6%,2%,31%,41%,12%,13%,7%,-0%,3%,23%,20%
