Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,101,123,132,131,129,116
Inventory Days,65,50,67,,,53
Days Payable,56,70,63,,,230
Cash Conversion Cycle,110,103,137,131,129,-61
Working Capital Days,26,55,19,56,27,104
ROCE %,,-4%,1%,8%,14%,15%
