Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,242,184,136,105
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,,242,184,136,105
Working Capital Days,,229,231,106,123
ROCE %,,10%,6%,7%,10%
