Metric,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,90,67,49,134,176,181
Inventory Days,40,45,55,0,0,
Days Payable,57,37,52,,,
Cash Conversion Cycle,73,76,51,134,176,181
Working Capital Days,43,50,8,41,117,210
ROCE %,,3%,,6%,10%,8%
