Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,21,397,295,147,120,116,109,463,602,,,
Inventory Days,20,92,62,139,131,108,198,790,,,,
Days Payable,43,382,116,228,262,267,219,1079,,,,
Cash Conversion Cycle,-2,107,241,58,-10,-43,88,175,602,,,
Working Capital Days,31,526,273,-204,-186,-417,-295,-724,-7482,,,
ROCE %,7%,-6%,-2%,-9%,-18%,-10%,-12%,-19%,-1%,2%,-11%,-12%
