Metric,Mar 2011,Jun 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2024,Mar 2025,Mar 2026
Debtor Days,209,116,372,144,907,10126,827,148,160
Inventory Days,119,175,313,200,2,0,100,42,111
Days Payable,171,130,537,127,190,,240,71,107
Cash Conversion Cycle,157,161,147,217,720,10126,687,120,163
Working Capital Days,53,46,97,77,-696,-51382,75,151,163
ROCE %,,14%,,2%,-101%,-89%,,34%,25%
