Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2011,Jun 2012,Jun 2013,Mar 2014
Debtor Days,57,64,76,39,111,72,108,100,97
Inventory Days,223,256,362,183,210,116,255,194,249
Days Payable,122,254,347,207,156,0,239,297,267
Cash Conversion Cycle,157,66,92,15,164,188,125,-3,79
Working Capital Days,77,80,122,21,175,-37,-79,-221,-286
ROCE %,,15%,9%,-2%,-3%,-1%,-4%,-12%,-5%
