Metric,Jun 2006,Jun 2007,Dec 2008,Dec 2009,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Debtor Days,38,24,23,30,29,41,42,44,57,48,9,7
Inventory Days,60,107,92,108,60,111,102,145,73,71,64,95
Days Payable,109,146,245,160,68,117,133,188,180,196,147,220
Cash Conversion Cycle,-11,-15,-129,-22,21,35,11,1,-50,-77,-73,-118
Working Capital Days,114,159,70,55,-104,-161,-148,-240,-361,-249,-256,-451
ROCE %,,7%,7%,5%,5%,5%,3%,2%,3%,0%,6%,-7%
