Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,25,23,17,11,11
Inventory Days,,341,163,288,288,231
Days Payable,,54,33,37,29,26
Cash Conversion Cycle,,312,154,269,270,216
Working Capital Days,,56,24,33,21,23
ROCE %,,11%,10%,5%,4%,5%
