Metric,Mar 2023,Mar 2024,Mar 2025
Debtor Days,,60.22,20.69
Inventory Days,,814.97,
Days Payable,,22.74,
Cash Conversion Cycle,,852.45,20.69
Working Capital Days,,535.33,64.32
ROCE %,,,25.60%
