Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Debtor Days,28,23,25,22,66,26
Inventory Days,222,190,201,219,439,224
Days Payable,181,140,178,209,464,411
Cash Conversion Cycle,70,72,48,32,41,-160
Working Capital Days,19,32,22,-43,-57,-176
ROCE %,,14%,15%,11%,-13%,-73%
