Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46,66,2,7,10,9,9
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,46,66,2,7,10,9,9
Working Capital Days,26,505,-45,92,233,51,-88
ROCE %,,-2%,-7%,1%,1%,5%,3%
