Metric,Mar 2010,Jun 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Debtor Days,60,94,225,179,206,120,46,23,0,0,0,0
Inventory Days,72,55,112,678,180,145,32,,,,,
Days Payable,208,193,149,663,332,612,587,,,,,
Cash Conversion Cycle,-76,-43,188,194,55,-347,-508,23,0,0,0,0
Working Capital Days,189,75,366,-98,-541,-737,-1428,-2093,-2646,-12525,-12773,-12176
ROCE %,13%,16%,,0%,3%,-6%,,,,,,
