Metric,Mar 2006,Jun 2007,Jun 2008,Jun 2010,Jun 2011,Jun 2012
Debtor Days,86,42,84,265,405,192
Inventory Days,,,,,23,
Days Payable,,,,,3161,
Cash Conversion Cycle,86,42,84,265,-2733,192
Working Capital Days,5,18,77,133,77,86
ROCE %,,139%,29%,,19%,15%
