Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,347,52,130,120,97
Inventory Days,156,36,10,8,4
Days Payable,216,84,48,13,47
Cash Conversion Cycle,287,4,92,115,54
Working Capital Days,270,12,85,141,85
ROCE %,,19%,-7%,4%,0%
