Metric,Mar 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Debtor Days,109,77,111,218,121,119,134,26,53,147,120,35
Inventory Days,183,101,115,87,73,83,67,64,73,661,1249,173
Days Payable,104,95,70,85,75,89,90,97,229,2092,3838,1079
Cash Conversion Cycle,189,84,156,220,119,112,111,-6,-102,-1285,-2469,-872
Working Capital Days,-14,-54,-217,-544,53,-440,-503,-821,-2028,-6109,-5014,-7189
ROCE %,1%,7%,-8%,-9%,-5%,-5%,-5%,-8%,-15%,-10%,-8%,-16%
