Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8,12,30,85,90,97,96,91,98,117,119,138
Inventory Days,37,57,44,44,47,210,139,149,159,183,159,181
Days Payable,112,168,155,144,76,57,68,102,84,116,103,125
Cash Conversion Cycle,-67,-99,-81,-16,61,251,166,138,173,184,175,194
Working Capital Days,-128,-114,-29,47,104,167,145,165,144,166,174,263
ROCE %,68%,62%,68%,63%,45%,33%,28%,28%,26%,26%,26%,25%
