Metric,Mar 2024,Dec 2024,Mar 2025,Mar 2026
Debtor Days,109,109,81,59
Inventory Days,14,14,,10
Days Payable,76,76,,177
Cash Conversion Cycle,47,47,81,-109
Working Capital Days,34,34,23,21
ROCE %,,,4%,5%
