Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,124,121,97,125,75,48,37,35,79,89,114,100
Inventory Days,77,56,90,139,65,69,41,56,68,78,82,99
Days Payable,220,218,266,301,216,192,141,96,91,98,98,122
Cash Conversion Cycle,-18,-41,-79,-37,-75,-76,-63,-5,55,68,97,77
Working Capital Days,-220,-242,-357,-735,-265,-242,-118,-121,-0,23,51,23
ROCE %,10%,7%,9%,-8%,-5%,-6%,10%,61%,5%,4%,10%,-6%
