Metric,Sep 2006,Dec 2007,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Debtor Days,15.28,0.00,,,,,
Inventory Days,10.43,,,,,,
Days Payable,0.00,,,,,,
Cash Conversion Cycle,25.71,0.00,,,,,
Working Capital Days,-123.08,6570.00,,,,,
ROCE %,,-8.78%,-0.49%,1.18%,3.09%,4.02%,0.21%
