broadCastDate,relatingTo,consolidated,audited,fromDate,toDate,xbrl
03-Aug-2026 15:10:54,Quarterly Financial Results,Audited,Audited,03-Aug-2026 15:10:54,03-Aug-2026 15:10:54,
15-Jul-2026 20:23:56,Quarterly Financial Results,Audited,Audited,15-Jul-2026 20:23:56,15-Jul-2026 20:23:56,
15-Jul-2026 14:17:13,Quarterly Financial Results,Audited,Audited,15-Jul-2026 14:17:13,15-Jul-2026 14:17:13,
12-Jun-2026 23:19:14,Quarterly Financial Results,Audited,Audited,12-Jun-2026 23:19:14,12-Jun-2026 23:19:14,
04-May-2026 11:10:48,Quarterly Financial Results,Audited,Audited,04-May-2026 11:10:48,04-May-2026 11:10:48,
02-Feb-2026 16:21:16,Quarterly Financial Results,Audited,Audited,02-Feb-2026 16:21:16,02-Feb-2026 16:21:16,
10-Nov-2025 18:45:39,Quarterly Financial Results,Audited,Audited,10-Nov-2025 18:45:39,10-Nov-2025 18:45:39,
04-Aug-2025 16:09:37,Quarterly Financial Results,Audited,Audited,04-Aug-2025 16:09:37,04-Aug-2025 16:09:37,
04-Aug-2025 14:24:04,Quarterly Financial Results,Audited,Audited,04-Aug-2025 14:24:04,04-Aug-2025 14:24:04,
29-May-2025 20:13:11,Quarterly Financial Results,Audited,Audited,29-May-2025 20:13:11,29-May-2025 20:13:11,
12-May-2025 14:29:27,Quarterly Financial Results,Audited,Audited,12-May-2025 14:29:27,12-May-2025 14:29:27,
