bm_symbol,bm_date,bm_purpose,bm_desc,sm_indusrty,bm_timestamp,sm_name,sm_isin,diff,sysTime,attFileSize,attachment,ixbrl,ixbrlFileSize,symbol,company_name,bm_source
TMPV,13-Aug-2026,Board Meeting Intimation,Tata Motors Passenger Vehicles Limited has informed the Exchange about Board Meeting to be held on 13-Aug-2026 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended June 2026 .,-,21-Jul-2026 19:40:33,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:03,21-Jul-2026 19:40:36,14.83 KB,https://nsearchives.nseindia.com/corporate/xbrl/PVPriorIntimation_PRIOR_INTIMATION_WebXMLFile_20260721_194030756.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_211_20260721_194030777_WEB.html,3.58 KB,TMPV,Tata Motors Passenger Vehicles Ltd.,
TMPV,14-May-2026,Board Meeting Intimation,Tata Motors Passenger Vehicles Limited has informed the Exchange about Board Meeting to be held on 14-May-2026 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2026 and Dividend.,-,28-Apr-2026 21:28:56,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:03,28-Apr-2026 21:28:59,14.94 KB,https://nsearchives.nseindia.com/corporate/xbrl/PIBM_500570_2842026212848_PRIOR_INTIMATION_WebXMLFile_20260428_212854617.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_20260428_212854_WEB.html,3.38 KB,TMPV,Tata Motors Passenger Vehicles Ltd.,
TMPV,05-Feb-2026,Board Meeting Intimation,Tata Motors Passenger Vehicles Limited has informed the Exchange about Board Meeting to be held on 05-Feb-2026 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended December 2025 .,-,12-Jan-2026 16:16:50,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:03,12-Jan-2026 16:16:53,6.78 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_75254_1598796_12012026041648_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_75254_12012026161648_iXBRL_WEB.html,3.29 KB,TMPV,Tata Motors Passenger Vehicles Ltd.,
TMPV,14-Nov-2025,Board Meeting Intimation,Tata Motors Passenger Vehicles Limited has informed the Exchange about Board Meeting to be held on 14-Nov-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended September 2025 .,-,04-Nov-2025 17:18:24,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:03,04-Nov-2025 17:18:27,6.91 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_70633_1564811_04112025051823_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_70633_04112025171823_iXBRL_WEB.html,3.29 KB,TMPV,Tata Motors Passenger Vehicles Ltd.,
TMPV,08-Aug-2025,Board Meeting Intimation,TATA MOTORS LIMITED has informed the Exchange about Board Meeting to be held on 08-Aug-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended June 2025 .,-,17-Jul-2025 21:04:54,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:02,17-Jul-2025 21:04:56,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_60081_1485976_17072025090452_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_60081_17072025210452_iXBRL_WEB.html,,TMPV,Tata Motors Passenger Vehicles Ltd.,
TMPV,13-May-2025,Board Meeting Intimation,TATA MOTORS LIMITED has informed the Exchange about Board Meeting to be held on 13-May-2025 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2025 and Dividend.,-,18-Apr-2025 16:37:50,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:03,18-Apr-2025 16:37:53,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_50862_1418748_18042025043748_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_50862_18042025163747_iXBRL_WEB.html,,TMPV,Tata Motors Passenger Vehicles Ltd.,
TMPV,02-May-2025,Board Meeting Intimation,Tata Motors Limited has informed the Exchange about Board Meeting to be held on 02-May-2025 to consider Fund raising.,-,28-Apr-2025 20:40:02,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:04,28-Apr-2025 20:40:06,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_51628_1426931_28042025083959_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_51628_28042025203958_iXBRL_WEB.html,,TMPV,Tata Motors Passenger Vehicles Ltd.,
TMPV,19-Mar-2025,Board Meeting Intimation,TATA MOTORS LIMITED has informed the Exchange about Board Meeting to be held on 19-Mar-2025 to consider Fund raising.,-,13-Mar-2025 20:01:24,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:03,13-Mar-2025 20:01:27,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_48604_1396172_13032025080121_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_48604_13032025200121_iXBRL_WEB.html,,TMPV,Tata Motors Passenger Vehicles Ltd.,
TMPV,29-Jan-2025,Financial Results,"To consider and approve the financial results for the period ended December 31, 2024",-,06-Jan-2025 18:32:21,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:01,06-Jan-2025 18:32:22,,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_06012025183159_NSEBSELETTER.pdf,,,TMPV,Tata Motors Passenger Vehicles Ltd.,
TMPV,08-Nov-2024,TATA MOTORS LIMITED has informed the Exchange about Board Meeting to be held on 08-Nov-2024 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended September 2024 .,Board Meeting Intimation,-,09-Oct-2024 15:35:20,Tata Motors Passenger Vehicles Limited,INE155A01022,00:00:03,09-Oct-2024 15:35:23,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_37180_1263168_09102024033517_WEB.xml,,,TMPV,Tata Motors Passenger Vehicles Ltd.,
