bcEndDate,bcStartDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol,company_name
-,-,Tata Motors Passenger Vehicles Limited,19-Jun-2026,2,-,INE155A01022,-,-,19-Jun-2026,EQ,Dividend - Rs 3 Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
-,-,Tata Motors Passenger Vehicles Limited,14-Oct-2025,2,-,INE155A01022,-,-,14-Oct-2025,EQ,Demerger,TMPV,Tata Motors Passenger Vehicles Ltd.
-,-,Tata Motors Passenger Vehicles Limited,04-Jun-2025,2,-,INE155A01022,-,-,04-Jun-2025,EQ,Dividend - Rs 6 Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
-,-,Tata Motors Passenger Vehicles Limited,11-Jun-2024,2,-,INE155A01022,-,-,11-Jun-2024,EQ,Dividend - Rs 3 Per Share & Special Dividend - Rs 3 Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
08-Aug-2023,29-Jul-2023,Tata Motors Passenger Vehicles Limited,28-Jul-2023,2,-,INE155A01022,-,-,-,EQ,Dividend - Rs 2 Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
09-Aug-2016,20-Jul-2016,Tata Motors Passenger Vehicles Limited,18-Jul-2016,2,-,INE155A01022,-,-,-,EQ, Dividend - Re 0.20/- Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
13-Aug-2015,24-Jul-2015,Tata Motors Passenger Vehicles Limited,22-Jul-2015,2,-,INE155A01022,-,-,-,EQ,Annual General Meeting,TMPV,Tata Motors Passenger Vehicles Ltd.
08-Apr-2015,08-Apr-2015,Tata Motors Passenger Vehicles Limited,06-Apr-2015,2,-,INE155A01022,-,-,-,EQ,Rights 6:109 @ Premium Rs. 448/- Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
31-Jul-2014,11-Jul-2014,Tata Motors Passenger Vehicles Limited,09-Jul-2014,2,-,INE155A01022,-,-,-,EQ,Annual General Meeting / Dividend - Rs 2/- Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
21-Aug-2013,01-Aug-2013,Tata Motors Passenger Vehicles Limited,30-Jul-2013,2,-,INE155A01022,-,-,-,EQ,Annual General Meeting And Dividend Rs.2/- Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
10-Aug-2012,20-Jul-2012,Tata Motors Passenger Vehicles Limited,18-Jul-2012,2,-,INE155A01022,-,-,-,EQ,Dividend Rs 4 Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
-,-,Tata Motors Passenger Vehicles Limited,12-Sep-2011,2,-,INE155A01022,-,-,13-Sep-2011,EQ,Face Value Split From Rs.10/- To Rs.2/-,TMPV,Tata Motors Passenger Vehicles Ltd.
12-Aug-2011,21-Jul-2011,Tata Motors Passenger Vehicles Limited,19-Jul-2011,2,-,INE155A01022,-,-,-,EQ,Dividend-Rs.20/- Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
01-Sep-2010,12-Aug-2010,Tata Motors Passenger Vehicles Limited,10-Aug-2010,2,-,INE155A01022,-,-,-,EQ,Dividend-Rs.15/- Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
25-Aug-2009,05-Aug-2009,Tata Motors Passenger Vehicles Limited,03-Aug-2009,2,-,INE155A01022,-,-,-,EQ,Dividend-Rs.6/- Per Share,TMPV,Tata Motors Passenger Vehicles Ltd.
-,-,Tata Motors Passenger Vehicles Limited,09-Sep-2008,2,-,INE155A01022,15-Sep-2008,09-Sep-2008,16-Sep-2008,EQ,Rights Eq 1:6/Dif Vot 1:6,TMPV,Tata Motors Passenger Vehicles Ltd.
26-Jun-2008,18-Jun-2008,Tata Motors Passenger Vehicles Limited,16-Jun-2008,2,-,INE155A01022,-,-,-,EQ,Dividend-Rs.15 Per Share Purpose Revised,TMPV,Tata Motors Passenger Vehicles Ltd.
12-Jun-2007,05-Jun-2007,Tata Motors Passenger Vehicles Limited,01-Jun-2007,2,-,INE155A01022,-,-,-,EQ,Agm/Dividend-150%,TMPV,Tata Motors Passenger Vehicles Ltd.
11-Jul-2006,27-Jun-2006,Tata Motors Passenger Vehicles Limited,23-Jun-2006,2,-,INE155A01022,-,-,-,EQ,Dividend-130%,TMPV,Tata Motors Passenger Vehicles Ltd.
11-Jul-2005,27-Jun-2005,Tata Motors Passenger Vehicles Limited,23-Jun-2005,2,-,INE155A01022,-,-,-,EQ,Div Fin-100% + Spl-25%,TMPV,Tata Motors Passenger Vehicles Ltd.
