audited,bank,broadCastDate,companyName,consolidated,cumulative,difference,exchdisstime,filingDate,financialYear,format,fromDate,indAs,industry,isin,oldNewFlag,params,period,reInd,relatingTo,resultDescription,resultDetailedDataLink,seqNumber,symbol,toDate,xbrl
Audited,N,07-Nov-2012 17:49:40,Tata Motors Passenger Vehicles Limited,Non-Consolidated,Cumulative,::,,07-Nov-2012 19:39,01-Apr-2012 To 31-Mar-2013,Old,01-Apr-2012,Non-Ind-AS,-,INE155A01022,N,01-Apr-201230-Sep-2012H1ANCNAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_100881.html,100881,TMPV,30-Sep-2012,https://nsearchives.nseindia.com/corporate/xbrl/-
Audited,N,14-Nov-2011 18:48:09,Tata Motors Passenger Vehicles Limited,Non-Consolidated,Cumulative,::,,14-Nov-2011 19:48,01-Apr-2011 To 31-Mar-2012,Old,01-Apr-2011,Non-Ind-AS,-,INE155A01022,,01-Apr-201130-Sep-2011H1ANCNAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_90613.html,90613,TMPV,30-Sep-2011,https://nsearchives.nseindia.com/corporate/xbrl/-
Un-Audited,N,09-Nov-2010 19:30:13,Tata Motors Passenger Vehicles Limited,Consolidated,Cumulative,::,,10-Nov-2010 10:54,-,Old,01-Apr-2010,Non-Ind-AS,-,INE155A01022,,01-Apr-201030-Sep-2010H1UNCCAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_80130.html,80130,TMPV,30-Sep-2010,https://nsearchives.nseindia.com/corporate/xbrl/-
Audited,N,09-Nov-2010 19:24:50,Tata Motors Passenger Vehicles Limited,Non-Consolidated,Cumulative,::,,10-Nov-2010 09:26,01-Apr-2010 To 31-Mar-2011,Old,01-Apr-2010,Non-Ind-AS,-,INE155A01022,,01-Apr-201030-Sep-2010H1ANCNAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_80127.html,80127,TMPV,30-Sep-2010,https://nsearchives.nseindia.com/corporate/xbrl/-
Un-Audited,N,27-Nov-2009 15:35:54,Tata Motors Passenger Vehicles Limited,Consolidated,Cumulative,::,,27-Nov-2009 15:45,-,Old,01-Apr-2009,Non-Ind-AS,-,INE155A01022,,01-Apr-200930-Sep-2009H1UNCCAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_70644.html,70644,TMPV,30-Sep-2009,https://nsearchives.nseindia.com/corporate/xbrl/-
Audited,N,26-Oct-2009 18:38:22,Tata Motors Passenger Vehicles Limited,Non-Consolidated,Cumulative,::,,26-Oct-2009 18:50,-,Old,01-Apr-2009,Non-Ind-AS,-,INE155A01022,,01-Apr-200930-Sep-2009H1ANCNAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_68369.html,68369,TMPV,30-Sep-2009,https://nsearchives.nseindia.com/corporate/xbrl/-
Audited,N,31-Oct-2008 15:15:43,Tata Motors Passenger Vehicles Limited,Non-Consolidated,Cumulative,::,,31-Oct-2008 15:21,-,Old,01-Apr-2008,Non-Ind-AS,-,INE155A01022,,01-Apr-200830-Sep-2008H1ANCNAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_59959.html,59959,TMPV,30-Sep-2008,https://nsearchives.nseindia.com/corporate/xbrl/-
Audited,N,31-Oct-2007 13:57:04,Tata Motors Passenger Vehicles Limited,Consolidated,Cumulative,::,,31-Oct-2007 14:59,-,Old,01-Apr-2007,Non-Ind-AS,-,INE155A01022,,01-Apr-200730-Sep-2007H1ANCCAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_50502.html,50502,TMPV,30-Sep-2007,https://nsearchives.nseindia.com/corporate/xbrl/-
Audited,N,31-Oct-2007 13:52:43,Tata Motors Passenger Vehicles Limited,Non-Consolidated,Cumulative,::,,31-Oct-2007 14:15,-,Old,01-Apr-2007,Non-Ind-AS,-,INE155A01022,,01-Apr-200730-Sep-2007H1ANCNAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_50499.html,50499,TMPV,30-Sep-2007,https://nsearchives.nseindia.com/corporate/xbrl/-
Audited,N,,Tata Motors Passenger Vehicles Limited,Non-Consolidated,Cumulative,::,,-,-,Old,01-Apr-2006,Non-Ind-AS,-,INE155A01022,,01-Apr-200630-Sep-2006H1ANCNAETMPV,Half-Yearly,-,First Half,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_TMPV_41774.html,41774,TMPV,30-Sep-2006,https://nsearchives.nseindia.com/corporate/xbrl/-
