broadCastDate,relatingTo,consolidated,audited,fromDate,toDate,xbrl
15-Jul-2026 13:44:12,Quarterly Financial Results,Audited,Audited,15-Jul-2026 13:44:12,15-Jul-2026 13:44:12,
06-Jul-2026 14:54:01,Quarterly Financial Results,Audited,Audited,06-Jul-2026 14:54:01,06-Jul-2026 14:54:01,
14-Apr-2026 14:49:29,Quarterly Financial Results,Audited,Audited,14-Apr-2026 14:49:29,14-Apr-2026 14:49:29,
05-Feb-2026 18:32:41,Quarterly Financial Results,Audited,Audited,05-Feb-2026 18:32:41,05-Feb-2026 18:32:41,
13-Jan-2026 13:27:54,Quarterly Financial Results,Audited,Audited,13-Jan-2026 13:27:54,13-Jan-2026 13:27:54,
13-Jan-2026 13:24:47,Quarterly Financial Results,Audited,Audited,13-Jan-2026 13:24:47,13-Jan-2026 13:24:47,
14-Oct-2025 13:48:36,Quarterly Financial Results,Audited,Audited,14-Oct-2025 13:48:36,14-Oct-2025 13:48:36,
14-Oct-2025 13:45:55,Quarterly Financial Results,Audited,Audited,14-Oct-2025 13:45:55,14-Oct-2025 13:45:55,
12-Sep-2025 14:32:09,Quarterly Financial Results,Audited,Audited,12-Sep-2025 14:32:09,12-Sep-2025 14:32:09,
12-Sep-2025 14:31:05,Quarterly Financial Results,Audited,Audited,12-Sep-2025 14:31:05,12-Sep-2025 14:31:05,
15-Jul-2025 13:48:06,Quarterly Financial Results,Audited,Audited,15-Jul-2025 13:48:06,15-Jul-2025 13:48:06,
15-Jul-2025 13:43:54,Quarterly Financial Results,Audited,Audited,15-Jul-2025 13:43:54,15-Jul-2025 13:43:54,
15-Apr-2025 16:58:07,Quarterly Financial Results,Audited,Audited,15-Apr-2025 16:58:07,15-Apr-2025 16:58:07,
15-Apr-2025 16:56:34,Quarterly Financial Results,Audited,Audited,15-Apr-2025 16:56:34,15-Apr-2025 16:56:34,
21-Jan-2025 18:18:17,Quarterly Financial Results,Audited,Audited,21-Jan-2025 18:18:17,21-Jan-2025 18:18:17,
21-Jan-2025 18:16:05,Quarterly Financial Results,Audited,Audited,21-Jan-2025 18:16:05,21-Jan-2025 18:16:05,
21-Jan-2025 18:14:37,Quarterly Financial Results,Audited,Audited,21-Jan-2025 18:14:37,21-Jan-2025 18:14:37,
22-Oct-2024 18:09:37,Quarterly Financial Results,Audited,Audited,22-Oct-2024 18:09:37,22-Oct-2024 18:09:37,
22-Oct-2024 18:07:59,Quarterly Financial Results,Audited,Audited,22-Oct-2024 18:07:59,22-Oct-2024 18:07:59,
23-Jul-2024 18:20:17,Quarterly Financial Results,Audited,Audited,23-Jul-2024 18:20:17,23-Jul-2024 18:20:17,
23-Jul-2024 18:17:22,Quarterly Financial Results,Audited,Audited,23-Jul-2024 18:17:22,23-Jul-2024 18:17:22,
23-Apr-2024 18:06:18,Quarterly Financial Results,Audited,Audited,23-Apr-2024 18:06:18,23-Apr-2024 18:06:18,
23-Apr-2024 18:01:46,Quarterly Financial Results,Audited,Audited,23-Apr-2024 18:01:46,23-Apr-2024 18:01:46,
17-Jan-2024 20:01:42,Quarterly Financial Results,Audited,Audited,17-Jan-2024 20:01:42,17-Jan-2024 20:01:42,
17-Jan-2024 19:59:33,Quarterly Financial Results,Audited,Audited,17-Jan-2024 19:59:33,17-Jan-2024 19:59:33,
17-Oct-2023 18:44:12,Quarterly Financial Results,Audited,Audited,17-Oct-2023 18:44:12,17-Oct-2023 18:44:12,
17-Oct-2023 18:39:09,Quarterly Financial Results,Audited,Audited,17-Oct-2023 18:39:09,17-Oct-2023 18:39:09,
18-Jul-2023 13:28:25,Quarterly Financial Results,Audited,Audited,18-Jul-2023 13:28:25,18-Jul-2023 13:28:25,
18-Jul-2023 13:25:15,Quarterly Financial Results,Audited,Audited,18-Jul-2023 13:25:15,18-Jul-2023 13:25:15,
20-Apr-2023 18:33:59,Quarterly Financial Results,Audited,Audited,20-Apr-2023 18:33:59,20-Apr-2023 18:33:59,
20-Apr-2023 18:32:17,Quarterly Financial Results,Audited,Audited,20-Apr-2023 18:32:17,20-Apr-2023 18:32:17,
17-Jan-2023 20:12:47,Quarterly Financial Results,Audited,Audited,17-Jan-2023 20:12:47,17-Jan-2023 20:12:47,
17-Jan-2023 20:07:43,Quarterly Financial Results,Audited,Audited,17-Jan-2023 20:07:43,17-Jan-2023 20:07:43,
15-Oct-2022 17:08:39,Quarterly Financial Results,Audited,Audited,15-Oct-2022 17:08:39,15-Oct-2022 17:08:39,
16-Jul-2022 18:13:00,Quarterly Financial Results,Audited,Audited,16-Jul-2022 18:13:00,16-Jul-2022 18:13:00,
16-Apr-2022 17:31:53,Quarterly Financial Results,Audited,Audited,16-Apr-2022 17:31:53,16-Apr-2022 17:31:53,
18-Jan-2022 17:50:14,Quarterly Financial Results,Audited,Audited,18-Jan-2022 17:50:14,18-Jan-2022 17:50:14,
18-Jan-2022 17:47:44,Quarterly Financial Results,Audited,Audited,18-Jan-2022 17:47:44,18-Jan-2022 17:47:44,
18-Jan-2022 17:45:47,Quarterly Financial Results,Audited,Audited,18-Jan-2022 17:45:47,18-Jan-2022 17:45:47,
20-Oct-2021 14:38:23,Quarterly Financial Results,Audited,Audited,20-Oct-2021 14:38:23,20-Oct-2021 14:38:23,
19-Oct-2021 18:33:45,Quarterly Financial Results,Audited,Audited,19-Oct-2021 18:33:45,19-Oct-2021 18:33:45,
19-Oct-2021 18:27:34,Quarterly Financial Results,Audited,Audited,19-Oct-2021 18:27:34,19-Oct-2021 18:27:34,
20-Jul-2021 18:18:53,Quarterly Financial Results,Audited,Audited,20-Jul-2021 18:18:53,20-Jul-2021 18:18:53,
20-Jul-2021 18:14:21,Quarterly Financial Results,Audited,Audited,20-Jul-2021 18:14:21,20-Jul-2021 18:14:21,
19-Apr-2021 18:38:52,Quarterly Financial Results,Audited,Audited,19-Apr-2021 18:38:52,19-Apr-2021 18:38:52,
27-Jan-2021 17:54:07,Quarterly Financial Results,Audited,Audited,27-Jan-2021 17:54:07,27-Jan-2021 17:54:07,
27-Jan-2021 17:49:08,Quarterly Financial Results,Audited,Audited,27-Jan-2021 17:49:08,27-Jan-2021 17:49:08,
27-Oct-2020 18:13:40,Quarterly Financial Results,Audited,Audited,27-Oct-2020 18:13:40,27-Oct-2020 18:13:40,
27-Oct-2020 18:07:34,Quarterly Financial Results,Audited,Audited,27-Oct-2020 18:07:34,27-Oct-2020 18:07:34,
07-Oct-2020 15:23:13,Quarterly Financial Results,Audited,Audited,07-Oct-2020 15:23:13,07-Oct-2020 15:23:13,
