broadCastDate,symbol,companyName,isin,consolidated,period,resultDescription,fr_source
30-Jan-2025,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
05-Nov-2024,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
01-Aug-2024,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
22-May-2024,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
31-Jan-2024,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
06-Nov-2023,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
07-Aug-2023,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
16-May-2023,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
02-Feb-2023,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
25-May-2022,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
12-Feb-2022,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
12-Nov-2021,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
10-Aug-2021,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
28-May-2021,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
06-Feb-2021,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
11-Nov-2020,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,,Quarterly,Financial Result Updates,announcements
