bm_date,bm_purpose,bm_desc,attachment
2026-07-16 16:52:07,Disclosure under SEBI Takeover Regulations,"Dinesh Thakkar has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",https://nsearchives.nseindia.com/corporate/team_bbodade_25062026165146_ANGELONE.pdf
2026-07-15 17:42:36,Outcome of Board Meeting,"Angel One Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",https://nsearchives.nseindia.com/corporate/ANGEL8896_15072026173936_OutcomeoftheBoardmeeting_15072026signed.pdf
2026-06-29 15:24:58,Disclosure under SEBI Takeover Regulations,"Dinesh Thakkar has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",https://nsearchives.nseindia.com/corporate/team_sandeshc_29062026134053_Angelone.pdf
2026-06-24 11:36:07,Disclosure under SEBI Takeover Regulations,"Dinesh Thakkar has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",https://nsearchives.nseindia.com/corporate/team_sandeshc_22062026121540_48.pdf
2026-06-12 22:30:24,Shareholders meeting,Proceedings and  the AGM pursuant to Regulation 30 of the Listing Regulations   Annexure AThe voting results of the business transacted at the AGM in the prescribed format pursuant to Regulation 44(3) of the Listing Regulations   Annexure BThe consolidated report of the Scrutinizer on remote e-voting prior and during the AGM   Annexure C,https://nsearchives.nseindia.com/corporate/ANGEL8896_12062026223012_Proceedings_of_AGM_signed.pdf
2026-05-20 22:31:10,Shareholders meeting,"Angel One Limited has informed the Exchange regarding Notice of 30th Annual General Meeting to to be held on Jun 12, 2026",https://nsearchives.nseindia.com/corporate/ANGEL8896_20052026223058_IntimationfordisptachofNoticeforAGM.pdf
2026-04-16 20:23:49,Outcome of Board Meeting,Outcome of Board meeting,https://nsearchives.nseindia.com/corporate/ANGEL8896_16042026201549_OutcomeofBoardMeetingfinal.pdf
2026-04-16 19:59:47,Outcome of Board Meeting,"Angel One Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026.",https://nsearchives.nseindia.com/corporate/ANGEL8896_16042026195744_OutcomeofBoardMeetingfinal.pdf
2026-03-20 12:29:40,Dividend,"Angel One Limited has informed the Exchange that Board of Directors by way or circular resolution   on March 20, 2026, declared Interim Dividend of Rs. 1.75 per equity share.",https://nsearchives.nseindia.com/corporate/ANGEL8896_20032026122930_March202026_DeclarationofDividend.pdf
2026-03-16 20:52:56,Updates,"Board of Directors will consider declaration of the 2nd interim dividend, for the financial year 2025-26, by circular resolution on Friday, March 20, 2026",https://nsearchives.nseindia.com/corporate/ANGEL8896_16032026204954_March162026IntimationDividendCR.pdf
2026-02-18 21:24:52,Shareholders meeting,Angel One Limited has informed the Exchange about Shareholders meeting,https://nsearchives.nseindia.com/corporate/ANGEL8896_18022026212359_AngelOnelimitedPostalBallot2026Final.pdf
2026-02-03 14:46:54,Outcome of Board Meeting,"Angel One Limited has informed the Exchange regarding  Board meeting held on February 03, 2026. Outcome of Loan, Investment and Borrowings Committee Meeting    Issuance of Senior, Rated, Secured, Listed, Redeemable Non-Convertible Debentures ( NCDs )",https://nsearchives.nseindia.com/corporate/ANGEL8896_03022026144639_Outcome_Issue_of_NCD.pdf
2026-01-19 19:19:41,Shareholders meeting,Angel One Limited has informed the Exchange regarding Notice of Postal Ballot,https://nsearchives.nseindia.com/corporate/ANGEL8896_19012026191552_IntimationdisptachPostalballotnotice19012026.pdf
2026-01-15 18:45:57,Dividend,"Angel One Limited has informed the Exchange that Board of Directors at its meeting held on January 15, 2026, declared Interim Dividend of 23 per equity share.",https://nsearchives.nseindia.com/corporate/ANGEL8896_15012026184535_Outcome_of_BM_Jan_2026.pdf
2026-01-15 18:44:30,Stock split,"Angel One Limited has informed the Exchange that the Board of Directors at its meeting held on January 15, 2026, has considered and approved subdivision of 1 equity shares of 10 each into 10 equity shares of 1 each.",https://nsearchives.nseindia.com/corporate/ANGEL8896_15012026184103_Outcome_of_BM_Jan_2026.pdf
2026-01-15 18:34:43,Stock split,"Angel One Limited has informed the Exchange that the Board of Directors at its meeting held on January 15, 2026, has considered and approved subdivision of 1 equity shares of Rs. 10 each into 10 equity shares of Re. 1 each.",https://nsearchives.nseindia.com/corporate/ANGEL8896_15012026182725_Outcome_of_BM_Jan_2026.pdf
2026-01-15 18:34:43,Outcome of Board Meeting,"Angel One Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025.",https://nsearchives.nseindia.com/corporate/ANGEL8896_15012026182341_Outcome_of_BM_Jan_2026.pdf
2026-01-15 18:34:43,Dividend,"Angel One Limited has informed the Exchange that Board of Directors at its meeting held on January 15, 2026, declared Interim Dividend of Rs. 23 per equity share.",https://nsearchives.nseindia.com/corporate/ANGEL8896_15012026182902_Outcome_of_BM_Jan_2026.pdf
