bcEndDate,bcStartDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol,company_name,caBroadcastDate
-,-,ICICI Bank Limited,12-Aug-2025,2,-,INE090A01013,-,-,12-Aug-2025,EQ,Dividend - Rs 11 Per Share,ICICIBANK,ICICI Bank Ltd.,
-,-,ICICI Bank Limited,12-Aug-2024,2,-,INE090A01013,-,-,12-Aug-2024,EQ,Dividend - Rs 10 Per Share,ICICIBANK,ICICI Bank Ltd.,
-,-,ICICI Bank Limited,09-Aug-2023,2,-,INE090A01013,-,-,09-Aug-2023,EQ,Dividend - Rs 8 Per Share,ICICIBANK,ICICI Bank Ltd.,
-,-,ICICI Bank Limited,08-Aug-2022,2,-,INE090A01013,-,-,10-Aug-2022,EQ,Dividend - Rs 5 Per Share,ICICIBANK,ICICI Bank Ltd.,
-,-,ICICI Bank Limited,29-Jul-2021,2,-,INE090A01013,-,-,30-Jul-2021,EQ, Dividend - Rs 2 Per Share,ICICIBANK,ICICI Bank Ltd.,
09-Aug-2019,24-Jul-2019,ICICI Bank Limited,22-Jul-2019,2,-,INE090A01013,-,-,-,EQ, Annual General Meeting/Dividend - Re 1 Per Share,ICICIBANK,ICICI Bank Ltd.,
12-Sep-2018,28-Aug-2018,ICICI Bank Limited,24-Aug-2018,2,-,INE090A01013,-,-,-,EQ, Dividend- Rs 1.50 Per Share (Date Revised),ICICIBANK,ICICI Bank Ltd.,
24-Jun-2017,22-Jun-2017,ICICI Bank Limited,20-Jun-2017,2,-,INE090A01013,-,-,-,EQ, Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised),ICICIBANK,ICICI Bank Ltd.,
11-Jul-2016,18-Jun-2016,ICICI Bank Limited,16-Jun-2016,2,-,INE090A01013,-,-,-,EQ, Annual General Meeting/ Dividend - Rs 5/- Per Share ,ICICIBANK,ICICI Bank Ltd.,
29-Jun-2015,06-Jun-2015,ICICI Bank Limited,04-Jun-2015,2,-,INE090A01013,-,-,-,EQ,Annual General Meeting/ Dividend - Rs 5/- Per Share,ICICIBANK,ICICI Bank Ltd.,
-,-,ICICI Bank Limited,04-Dec-2014,2,-,INE090A01013,-,-,05-Dec-2014,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,ICICIBANK,ICICI Bank Ltd.,
30-Jun-2014,07-Jun-2014,ICICI Bank Limited,05-Jun-2014,2,-,INE090A01013,-,-,-,EQ,Annual General Meeting/Dividend Rs.23/- Per Share,ICICIBANK,ICICI Bank Ltd.,
24-Jun-2013,01-Jun-2013,ICICI Bank Limited,30-May-2013,2,-,INE090A01013,-,-,-,EQ,Annual General Meeting/Dividend Rs.20/- Per Share,ICICIBANK,ICICI Bank Ltd.,
25-Jun-2012,02-Jun-2012,ICICI Bank Limited,31-May-2012,2,-,INE090A01013,-,-,-,EQ,Annual General Meeting And Dividend Rs.16.50 Per Share,ICICIBANK,ICICI Bank Ltd.,
27-Jun-2011,04-Jun-2011,ICICI Bank Limited,02-Jun-2011,2,-,INE090A01013,-,-,-,EQ,Annual General Meeting And Dividend Rs.14/- Per Share,ICICIBANK,ICICI Bank Ltd.,
28-Jun-2010,12-Jun-2010,ICICI Bank Limited,10-Jun-2010,2,-,INE090A01013,-,-,-,EQ,Annual General Meeting And Dividend Rs.12/- Per Share,ICICIBANK,ICICI Bank Ltd.,
29-Jun-2009,15-Jun-2009,ICICI Bank Limited,11-Jun-2009,2,-,INE090A01013,-,-,-,EQ,Agm/Div-Rs.11/- Per Share,ICICIBANK,ICICI Bank Ltd.,
26-Jul-2008,12-Jul-2008,ICICI Bank Limited,10-Jul-2008,2,-,INE090A01013,-,-,-,EQ,Agm/Dividend - 110%,ICICIBANK,ICICI Bank Ltd.,
14-Jul-2007,16-Jun-2007,ICICI Bank Limited,14-Jun-2007,2,-,INE090A01013,-,-,-,EQ,Agm/Dividend -100%,ICICIBANK,ICICI Bank Ltd.,
22-Jul-2006,08-Jul-2006,ICICI Bank Limited,06-Jul-2006,2,-,INE090A01013,-,-,-,EQ,Agm/Div-Rs.8.50/- Per Sh,ICICIBANK,ICICI Bank Ltd.,
