bcEndDate,bcStartDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol,company_name,caBroadcastDate,ca_source
-,-,Kotak Mahindra Bank Limited,17-Jul-2026,1,-,INE237A01010,-,-,17-Jul-2026,EQ,Dividend - Rs 0.65 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
-,-,Kotak Mahindra Bank Limited,14-Jan-2026,1,-,INE237A01010,-,-,14-Jan-2026,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
-,-,Kotak Mahindra Bank Limited,18-Jul-2025,1,-,INE237A01010,-,-,18-Jul-2025,EQ,Dividend - Rs 2.50 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
-,-,Kotak Mahindra Bank Limited,19-Jul-2024,1,-,INE237A01010,-,-,19-Jul-2024,EQ,Dividend - Rs 2 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
-,-,Kotak Mahindra Bank Limited,04-Aug-2023,1,-,INE237A01010,-,-,04-Aug-2023,EQ,Dividend - Rs 1.50 Per Sh,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
-,-,Kotak Mahindra Bank Limited,11-Aug-2022,1,-,INE237A01010,-,-,12-Aug-2022,EQ,Dividend - Rs 1.10 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
-,-,Kotak Mahindra Bank Limited,11-Aug-2021,1,-,INE237A01010,-,-,12-Aug-2021,EQ, Dividend - Rs 0.90 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
22-Jul-2019,16-Jul-2019,Kotak Mahindra Bank Limited,12-Jul-2019,1,-,INE237A01010,-,-,-,EQ, Annual General Meeting/Dividend Rs 0.80 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
19-Jul-2018,13-Jul-2018,Kotak Mahindra Bank Limited,11-Jul-2018,1,-,INE237A01010,-,-,-,EQ, Annual General Meeting/Dividend- Re 0.70 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
20-Jul-2017,14-Jul-2017,Kotak Mahindra Bank Limited,12-Jul-2017,1,-,INE237A01010,-,-,-,EQ, Annual General Meeting/Dividend-Re 0.60 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
22-Jul-2016,16-Jul-2016,Kotak Mahindra Bank Limited,14-Jul-2016,1,-,INE237A01010,-,-,-,EQ, Annual General Meeting/ Divdend - Re 0.50/- Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
-,-,Kotak Mahindra Bank Limited,08-Jul-2015,1,-,INE237A01010,-,-,09-Jul-2015,EQ,Bonus 1: 1,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
29-Jun-2015,22-Jun-2015,Kotak Mahindra Bank Limited,18-Jun-2015,1,-,INE237A01010,-,-,-,EQ,Annual General Meeting/Dividend Re 0.90/- Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
16-Jul-2014,08-Jul-2014,Kotak Mahindra Bank Limited,04-Jul-2014,1,-,INE237A01010,-,-,-,EQ,Annual General Meeting/Dividend Re 0.80/- Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
18-Jul-2013,08-Jul-2013,Kotak Mahindra Bank Limited,04-Jul-2013,1,-,INE237A01010,-,-,-,EQ,Annual General Meeting/Dividend Re 0.70/- Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
19-Jul-2012,10-Jul-2012,Kotak Mahindra Bank Limited,06-Jul-2012,1,-,INE237A01010,-,-,-,EQ,Annual General Meeting / Dividend Re 0.60 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
21-Jul-2011,14-Jul-2011,Kotak Mahindra Bank Limited,12-Jul-2011,1,-,INE237A01010,-,-,-,EQ,Annual General Meeting And Dividend Re.0.50 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
-,-,Kotak Mahindra Bank Limited,13-Sep-2010,1,-,INE237A01010,-,-,14-Sep-2010,EQ,Face Value Split From Rs.10/- To Rs.5/-,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
07-Jul-2010,05-Jul-2010,Kotak Mahindra Bank Limited,30-Jun-2010,1,-,INE237A01010,-,-,-,EQ,Annual General Meeting And Dividend Re.0.85 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
28-Jul-2009,16-Jul-2009,Kotak Mahindra Bank Limited,14-Jul-2009,1,-,INE237A01010,-,-,-,EQ,Agm/Div-Re.0.75 Per Share,KOTAKBANK,Kotak Mahindra Bank Ltd.,,
,,KOTAKBANK,14-Jul-2008,,,,,,14-Jul-2008,,Dividend - Rs 0.0375 Per Share,KOTAKBANK,KOTAKBANK,,yahoo
,,KOTAKBANK,22-Jun-2007,,,,,,22-Jun-2007,,Dividend - Rs 0.035 Per Share,KOTAKBANK,KOTAKBANK,,yahoo
