bm_date,bm_purpose,bm_desc,attachment
28-Aug-2026 19:45:06,Shareholders meeting,"NHPC Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 28, 2026. Further, the company has informed the Exchange regarding voting results.",https://nsearchives.nseindia.com/corporate/NHPC_28082026194414_STX_Voting_results_Scrutinizers_report_50AGM.pdf
05-Aug-2026 18:11:27,Updates,"NHPC Limited has informed the Exchange regarding 'Investors presentation on unaudited financial results for the quarter ended on June 30, 2026'.",https://nsearchives.nseindia.com/corporate/NHPC_05082026181112_STX_investor_Presentation_30062026.pdf
04-Aug-2026 20:14:35,Outcome of Board Meeting,"NHPC Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",https://nsearchives.nseindia.com/corporate/NHPC_04082026201156_STX_results_30062026_.pdf
