bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Allcargo Logistics Limited,12-Nov-2025,2,-,INE418H01029,-,-,12-Nov-2025,EQ,Demerger,ALLCARGO
-,-,,Allcargo Logistics Limited,25-Oct-2024,2,-,INE418H01029,-,-,26-Oct-2024,EQ,Interim Dividend - Rs 1.10 Per Share,ALLCARGO
-,-,,Allcargo Logistics Limited,17-Sep-2024,2,-,INE418H01029,-,-,18-Sep-2024,EQ,Dividend - Re 1 Per Share,ALLCARGO
-,-,,Allcargo Logistics Limited,02-Jan-2024,2,-,INE418H01029,-,-,02-Jan-2024,EQ,Bonus 3:1,ALLCARGO
-,-,,Allcargo Logistics Limited,18-Apr-2023,2,-,INE418H01029,-,-,18-Apr-2023,EQ,Demerger,ALLCARGO
-,-,,Allcargo Logistics Limited,15-Mar-2023,2,-,INE418H01029,-,-,15-Mar-2023,EQ,Interim Dividend - Rs 3.25 Per Share,ALLCARGO
-,-,,Allcargo Logistics Limited,24-Mar-2022,2,-,INE418H01029,-,-,25-Mar-2022,EQ,Interim Dividend - Rs 3 Per Share,ALLCARGO
-,-,,Allcargo Logistics Limited,22-Mar-2021,2,-,INE418H01029,-,-,23-Mar-2021,EQ, Interim Dividend - Rs 2 Per Share,ALLCARGO
-,-,,Allcargo Logistics Limited,23-Mar-2020,2,-,INE418H01029,-,-,24-Mar-2020,EQ, Interim Dividend - Rs 3 Per Share,ALLCARGO
-,-,,Allcargo Logistics Limited,15-Feb-2019,2,-,INE418H01029,-,-,18-Feb-2019,EQ, Interim Dividend - Rs 3.50 Per Share,ALLCARGO
10-Aug-2018,06-Aug-2018,,Allcargo Logistics Limited,02-Aug-2018,2,-,INE418H01029,-,-,-,EQ, Dividend- Rs 2 Per Share,ALLCARGO
10-Aug-2017,03-Aug-2017,,Allcargo Logistics Limited,01-Aug-2017,2,-,INE418H01029,-,-,-,EQ, Dividend - Rs 2/- Per Share,ALLCARGO
-,-,,Allcargo Logistics Limited,17-Nov-2016,2,-,INE418H01029,-,-,18-Nov-2016,EQ, Buy Back,ALLCARGO
-,-,,Allcargo Logistics Limited,21-Mar-2016,2,-,INE418H01029,-,-,22-Mar-2016,EQ, Interim Dividend - Re 1/- Per Share (Purpose Revised),ALLCARGO
-,-,,Allcargo Logistics Limited,30-Dec-2015,2,-,INE418H01029,-,-,31-Dec-2015,EQ, Bonus 1:1,ALLCARGO
-,-,,Allcargo Logistics Limited,19-Nov-2015,2,-,INE418H01029,-,-,20-Nov-2015,EQ, Interim Dividend -  Re 1/- Per Share,ALLCARGO
10-Aug-2015,04-Aug-2015,,Allcargo Logistics Limited,31-Jul-2015,2,-,INE418H01029,-,-,-,EQ,Annual Genereral Meeting/Dividend - Rs 1.40/- Per Share,ALLCARGO
-,-,,Allcargo Logistics Limited,26-Aug-2014,2,-,INE418H01029,-,-,27-Aug-2014,EQ,Interim Dividend - Re 0.60/- Per Share,ALLCARGO
06-Aug-2014,02-Aug-2014,,Allcargo Logistics Limited,31-Jul-2014,2,-,INE418H01029,-,-,-,EQ,Annual General Meeting / Dividend - Rs 1.50/- Per Share,ALLCARGO
08-Aug-2013,06-Aug-2013,,Allcargo Logistics Limited,02-Aug-2013,2,-,INE418H01029,-,-,-,EQ,Annual General Meeting / Dividend - Rs 1.50/- Per Share,ALLCARGO
