exDate,recDate,subject,faceVal
10-Jun-2026 22:17:25,10-Jun-2026 22:17:25,Updates,1
07-May-2026 15:00:54,07-May-2026 15:00:54,Record Date,1
07-May-2026 14:58:48,07-May-2026 14:58:48,Dividend,1
21-Sep-2025 14:24:22,21-Sep-2025 14:24:22,General Updates,1
16-Sep-2025 11:21:14,16-Sep-2025 11:21:14,Record Date,1
16-Sep-2025 11:19:29,16-Sep-2025 11:19:29,Dividend,1
16-Sep-2025 11:16:57,16-Sep-2025 11:16:57,Dividend,1
10-Sep-2025 19:58:33,10-Sep-2025 19:58:33,Updates,1
11-Jun-2025 12:24:39,11-Jun-2025 12:24:39,Updates,1
30-May-2025 13:33:15,30-May-2025 13:33:15,Record Date,1
30-May-2025 13:27:53,30-May-2025 13:27:53,Dividend,1
18-Sep-2024 17:41:43,18-Sep-2024 17:41:43,Updates,1
12-Sep-2024 13:29:44,12-Sep-2024 13:29:44,Record Date,1
12-Sep-2024 13:24:29,12-Sep-2024 13:24:29,Dividend Updates,1
12-Sep-2024 13:22:48,12-Sep-2024 13:22:48,Dividend,1
07-Jun-2024 18:04:21,07-Jun-2024 18:04:21,Updates,1
26-Apr-2024 17:45:14,26-Apr-2024 17:45:14,Record Date,1
26-Apr-2024 17:39:39,26-Apr-2024 17:39:39,Dividend Updates,1
26-Apr-2024 17:37:19,26-Apr-2024 17:37:19,Dividend,1
18-Sep-2023 20:49:19,18-Sep-2023 20:49:19,Updates,1
14-Jun-2023 16:34:11,14-Jun-2023 16:34:11,Updates,1
27-Apr-2023 17:36:25,27-Apr-2023 17:36:25,Record Date,1
27-Apr-2023 17:31:08,27-Apr-2023 17:31:08,Dividend,1
16-Sep-2022 14:44:57,16-Sep-2022 14:44:57,Communication to shareholders as per Reg 30,1
13-Sep-2022 16:10:20,13-Sep-2022 16:10:20,Record Date,1
13-Sep-2022 16:04:25,13-Sep-2022 16:04:25,Dividend,1
13-Sep-2022 16:03:04,13-Sep-2022 16:03:04,Dividend,1
13-Sep-2022 16:03:00,13-Sep-2022 16:03:00,Outcome of Board Meeting,1
30-Jun-2022 16:09:00,30-Jun-2022 16:09:00,Communication to shareholders as per Reg 30,1
