exDate,recDate,subject,faceVal
28-Aug-2026 20:59:42,28-Aug-2026 20:59:42,General Updates,1
22-Jun-2026 19:37:50,22-Jun-2026 19:37:50,General Updates,1
21-May-2026 19:00:11,21-May-2026 19:00:11,General Updates,1
07-May-2026 23:38:58,07-May-2026 23:38:58,Record Date,1
07-May-2026 23:31:35,07-May-2026 23:31:35,Dividend,1
26-Jun-2025 08:42:57,26-Jun-2025 08:42:57,General Updates,1
13-May-2025 19:53:04,13-May-2025 19:53:04,General Updates,1
08-May-2025 20:05:08,08-May-2025 20:05:08,Dividend,1
08-May-2025 19:58:21,08-May-2025 19:58:21,Record Date,1
28-Mar-2025 18:05:49,28-Mar-2025 18:05:49,Updates,1
28-Jun-2024 18:15:10,28-Jun-2024 18:15:10,Updates,1
23-May-2024 16:04:43,23-May-2024 16:04:43,Updates,1
16-May-2024 17:17:45,16-May-2024 17:17:45,Record Date,1
16-May-2024 17:15:53,16-May-2024 17:15:53,Date of payment of dividend,1
16-May-2024 17:14:57,16-May-2024 17:14:57,Dividend Updates,1
16-May-2024 17:12:42,16-May-2024 17:12:42,Dividend,1
31-Jan-2024 17:00:50,31-Jan-2024 17:00:50,Updates,1
10-Jul-2023 22:15:45,10-Jul-2023 22:15:45,Updates,1
23-May-2023 20:08:02,23-May-2023 20:08:02,Record Date,1
20-Apr-2023 11:35:50,20-Apr-2023 11:35:50,Board Meeting Intimation,1
30-Dec-2022 15:41:32,30-Dec-2022 15:41:32,Updates,1
15-Dec-2022 19:12:06,15-Dec-2022 19:12:06,Newspaper Advertisements,1
15-Dec-2022 19:09:57,15-Dec-2022 19:09:57,Communication to shareholders as per Reg 30,1
28-Apr-2022 20:48:31,28-Apr-2022 20:48:31,Outcome of Board Meeting,1
28-Apr-2022 20:48:29,28-Apr-2022 20:48:29,Dividend,1
29-Apr-2021 19:33:03,29-Apr-2021 19:33:03,Updates,1
04-Jul-2019 19:51:00,04-Jul-2019 19:51:00,Dividend Updates,1
25-Apr-2019 20:38:00,25-Apr-2019 20:38:00,Bonus,1
25-Apr-2019 20:36:00,25-Apr-2019 20:36:00,Dividend,1
