an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 18:04:29,241.45 KB,https://nsearchives.nseindia.com/corporate/BIOCON_31082026180408_Nuvama_Credit_Conference_04_Sep_2026.pdf,Biocon Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,31082026180429,31-Aug-2026 18:04:31,241.45 KB,True,,,106762730,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-31 18:04:29,BIOCON
28-Aug-2026 20:59:42,292.78 KB,https://nsearchives.nseindia.com/corporate/BIOCON_28082026205918_SE_Intimation.pdf,"Biocon Limited has informed the Exchange about ""Communication regarding remittance of final dividend for the FY 2025-26""",,,General Updates,00:00:02,28082026205942,28-Aug-2026 20:59:44,292.78 KB,True,,,106760845,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-28 20:59:42,BIOCON
25-Aug-2026 08:28:30,314.19 KB,https://nsearchives.nseindia.com/corporate/BIOCON_25082026082811_SE25082026.pdf,Biocon Limited has informed the Exchange regarding 'Company Statement'.,,,Updates,00:00:02,25082026082830,25-Aug-2026 08:28:32,314.19 KB,True,,,106755125,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-25 08:28:30,BIOCON
18-Aug-2026 08:40:08,408.61 KB,https://nsearchives.nseindia.com/corporate/BIOCON_18082026083950_CoStatement18062026.pdf,Biocon Limited has informed the Exchange regarding 'Company Statement'.,,,Updates,00:00:00,18082026084008,18-Aug-2026 08:40:08,408.61 KB,True,,,106747757,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-18 08:40:08,BIOCON
11-Aug-2026 20:06:25,239.92 KB,https://nsearchives.nseindia.com/corporate/BIOCON_11082026200613_Motilal_Oswal_Conference_17_August_2026.pdf,Biocon Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,11082026200625,11-Aug-2026 20:06:26,239.92 KB,True,,,106737738,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-11 20:06:25,BIOCON
11-Aug-2026 20:03:23,942.35 KB,https://nsearchives.nseindia.com/corporate/BIOCON_11082026200302_Cover_Letter_Transcript_Earnings_Call.pdf,Biocon Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,11082026200323,11-Aug-2026 20:03:24,942.35 KB,True,,,106737730,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-11 20:03:23,BIOCON
08-Aug-2026 21:54:07,958.77 KB,https://nsearchives.nseindia.com/corporate/BIOCON_08082026215336_Voting_Results_and_Scrutinizer_Report.pdf,"Biocon Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 06, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:01,08082026215407,08-Aug-2026 21:54:08,958.77 KB,True,,,106733550,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-08 21:54:07,BIOCON
07-Aug-2026 20:46:54,239.35 KB,https://nsearchives.nseindia.com/corporate/BIOCON_07082026204633_Emkay_Conference_12_August_2026.pdf,Biocon Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,07082026204654,07-Aug-2026 20:46:56,239.35 KB,True,,,106732420,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-07 20:46:54,BIOCON
07-Aug-2026 20:44:24,239.35 KB,https://nsearchives.nseindia.com/corporate/BIOCON_07082026204337_Emkay_Conference_12_August_2026.pdf,Biocon Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,07082026204424,07-Aug-2026 20:44:25,239.35 KB,True,,,106732417,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-07 20:44:24,BIOCON
07-Aug-2026 20:24:36,379.70 KB,https://nsearchives.nseindia.com/corporate/BIOCON_07082026202418_NewspaperAd_Financials.pdf,Biocon Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,07082026202436,07-Aug-2026 20:24:37,379.70 KB,True,,,106732390,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-07 20:24:36,BIOCON
06-Aug-2026 23:26:43,314.55 KB,https://nsearchives.nseindia.com/corporate/BIOCON_06082026232143_SE_Intimation-Resignation_of_statutory_auditors_of_Subsidiaries.pdf,"Biocon Limited has informed the Exchange regarding resignation of Ms BSR Co & LLP Statutory Auditors of the material subsidiary  of the Company w.e.f. August 06, 2026.",,,Resignation,00:00:00,06082026232643,06-Aug-2026 23:26:43,314.55 KB,True,,,106730103,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-06 23:26:43,BIOCON
06-Aug-2026 21:08:19,326.26 KB,https://nsearchives.nseindia.com/corporate/BIOCON_06082026210732_SEs_Intimation_Director.pdf,Biocon Limited has informed the Exchange regarding Change in Director(s) of the company.,,,Change in Director(s),00:00:00,06082026210819,06-Aug-2026 21:08:19,326.26 KB,True,,,106729881,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-06 21:08:19,BIOCON
06-Aug-2026 21:04:09,326.26 KB,https://nsearchives.nseindia.com/corporate/BIOCON_06082026210357_SEs_Intimation_Director.pdf,Biocon Limited has informed the Exchange regarding Change in Auditors of the company.,,,Change in Auditors,00:00:02,06082026210409,06-Aug-2026 21:04:11,326.26 KB,True,,,106729871,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-06 21:04:09,BIOCON
06-Aug-2026 20:59:15,326.26 KB,https://nsearchives.nseindia.com/corporate/BIOCON_06082026205827_SEs_Intimation_Director.pdf,"Biocon Limited has informed the Exchange regarding Re-appointment of Mr Erick Mazumdar as Non- Executive Director of the company w.e.f. August 06, 2026.",,,Appointment,00:00:01,06082026205915,06-Aug-2026 20:59:16,326.26 KB,True,,,106729864,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-06 20:59:15,BIOCON
06-Aug-2026 20:42:56,1.52 MB,https://nsearchives.nseindia.com/corporate/BIOCON_06082026204223_Biocon_AGM_Proceedings_and_Chairperson_Speech.pdf,"Biocon Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 06, 2026",,,Shareholders meeting,00:00:01,06082026204256,06-Aug-2026 20:42:57,1.52 MB,True,,,106729842,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-06 20:42:56,BIOCON
06-Aug-2026 18:43:20,264.27 KB,https://nsearchives.nseindia.com/corporate/BIOCON_06082026183935_Earning_Calls_outcome05082026.pdf,Biocon Limited has informed the Exchange about Link of Recording,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,06082026184320,06-Aug-2026 18:43:21,264.27 KB,True,,,106729429,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-06 18:43:20,BIOCON
06-Aug-2026 07:21:19,2.36 MB,https://nsearchives.nseindia.com/corporate/BIOCON_06082026072054_IR_PPT_Cover_Letter.pdf,Biocon Limited has informed the Exchange about Investor Presentation,,,Investor Presentation,00:00:01,06082026072119,06-Aug-2026 07:21:20,2.36 MB,True,,,106727815,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-06 07:21:19,BIOCON
05-Aug-2026 17:08:50,4.18 MB,https://nsearchives.nseindia.com/corporate/BIOCON_05082026170816_SE_Intimation_-_Monitoring_Agency.pdf,"Monitoring Agency Report for the quarter ended on June 30, 2026",,,Monitoring Agency Report,00:00:01,05082026170850,05-Aug-2026 17:08:51,4.18 MB,True,,,106726696,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-05 17:08:50,BIOCON
05-Aug-2026 17:02:41,1.02 MB,https://nsearchives.nseindia.com/corporate/BIOCON_05082026170201_PressRelease05082026.pdf,"Biocon Limited has informed the Exchange regarding a press release dated August 05, 2026, titled ""Biocon Q1FY27 Total Income at Rs 4,391 Cr, Up 9%; EBITDA at Rs 902 Cr; Net Profit at Rs 141 Cr; Biopharma Revenue Up 17%"".",,,Press Release,00:00:02,05082026170241,05-Aug-2026 17:02:43,1.02 MB,True,,,106726665,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-05 17:02:41,BIOCON
05-Aug-2026 16:51:10,6.74 MB,https://nsearchives.nseindia.com/corporate/BIOCON_05082026164940_Outcome_of_BM05082026.pdf,"Biocon Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",,,Outcome of Board Meeting,00:00:01,05082026165110,05-Aug-2026 16:51:11,6.74 MB,True,,,106726611,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-05 16:51:10,BIOCON
03-Aug-2026 08:28:25,426.26 KB,https://nsearchives.nseindia.com/corporate/BIOCON_03082026082804_SEs_Intimation_v3.pdf,"Biocon Limited has informed the Exchange regarding a press release dated August 03, 2026, titled ""Biocon Announces U.S. Commercial Launch of Yesafili , a Biosimilar to Regeneron s Eylea® 2 mg"".",,,Press Release,00:00:01,03082026082825,03-Aug-2026 08:28:26,426.26 KB,True,,,106721306,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-03 08:28:25,BIOCON
03-Aug-2026 08:26:45,426.26 KB,https://nsearchives.nseindia.com/corporate/BIOCON_03082026082630_SEs_Intimation_v3.pdf,Biocon Limited has informed the Exchange about Commercial Launch of Product,,,General Updates,00:00:01,03082026082645,03-Aug-2026 08:26:46,426.26 KB,True,,,106721305,Pharmaceuticals,INE376G01013,Biocon Limited,2026-08-03 08:26:45,BIOCON
