exDate,recDate,subject,faceVal
25-Jul-2026 17:36:39,25-Jul-2026 17:36:39,Record Date,1
25-Apr-2026 16:50:58,25-Apr-2026 16:50:58,Dividend,1
03-Jul-2025 18:13:09,03-Jul-2025 18:13:09,Record Date,1
26-Apr-2025 16:51:58,26-Apr-2025 16:51:58,Dividend,1
31-Oct-2020 21:06:15,31-Oct-2020 21:06:15,Updates,1
22-May-2020 18:56:00,22-May-2020 18:56:00,Updates,1
22-May-2020 18:43:00,22-May-2020 18:43:00,Outcome of Board Meeting,1
13-May-2019 09:01:00,13-May-2019 09:01:00,Dividend Updates,1
10-May-2019 21:27:00,10-May-2019 21:27:00,Updates,1
10-May-2019 21:22:00,10-May-2019 21:22:00,Outcome of Board Meeting,1
06-Jul-2018 16:29:00,06-Jul-2018 16:29:00,Updates,1
02-Jul-2018 19:01:00,02-Jul-2018 19:01:00,Book Closure,1
24-Apr-2018 18:50:00,24-Apr-2018 18:50:00,Dividend,1
03-Jul-2017 07:59:00,03-Jul-2017 07:59:00,Book Closure,1
25-Apr-2017 18:59:00,25-Apr-2017 18:59:00,Dividend,1
04-Jul-2016 09:20:00,04-Jul-2016 09:20:00,Book Closure,1
26-Apr-2016 17:58:00,26-Apr-2016 17:58:00,Dividend,1
