exDate,recDate,subject,faceVal
04-Aug-2025 19:34:13,04-Aug-2025 19:34:13,Record Date,1
04-Aug-2025 19:32:35,04-Aug-2025 19:32:35,Dividend,1
10-Feb-2024 17:57:59,10-Feb-2024 17:57:59,Dividend Updates,1
10-Feb-2024 17:36:57,10-Feb-2024 17:36:57,Dividend,1
07-Feb-2024 10:48:30,07-Feb-2024 10:48:30,Record Date,1
07-Feb-2024 10:46:56,07-Feb-2024 10:46:56,Dividend Updates,1
09-Nov-2023 19:24:26,09-Nov-2023 19:24:26,Dividend Updates,1
02-Nov-2023 12:42:01,02-Nov-2023 12:42:01,Record Date,1
09-Feb-2023 19:01:06,09-Feb-2023 19:01:06,Dividend Updates,1
03-Feb-2023 16:32:03,03-Feb-2023 16:32:03,Record Date,1
30-May-2022 20:16:03,30-May-2022 20:16:03,Dividend,1
30-May-2022 19:54:49,30-May-2022 19:54:49,Dividend,1
30-May-2022 19:54:47,30-May-2022 19:54:47,Outcome of Board Meeting,1
20-May-2022 15:12:00,20-May-2022 15:12:00,Revised Record date,1
20-May-2022 12:08:50,20-May-2022 12:08:50,Record Date,1
09-Feb-2022 18:06:50,09-Feb-2022 18:06:50,Record Date,1
09-Feb-2022 18:05:01,09-Feb-2022 18:05:01,Dividend Updates,1
08-Nov-2021 19:48:57,08-Nov-2021 19:48:57,Record Date,1
08-Nov-2021 19:47:26,08-Nov-2021 19:47:26,Dividend Updates,1
13-Aug-2021 11:21:24,13-Aug-2021 11:21:24,Record Date,1
12-Aug-2021 20:08:02,12-Aug-2021 20:08:02,Book Closure,1
12-Aug-2021 19:43:45,12-Aug-2021 19:43:45,Dividend Updates,1
10-Feb-2021 19:18:04,10-Feb-2021 19:18:04,Record Date,1
10-Feb-2021 18:57:59,10-Feb-2021 18:57:59,Dividend Updates,1
11-Nov-2020 18:06:44,11-Nov-2020 18:06:44,Record Date,1
11-Nov-2020 18:03:37,11-Nov-2020 18:03:37,Dividend Updates,1
11-Nov-2020 17:49:56,11-Nov-2020 17:49:56,Outcome of Board Meeting,1
12-Aug-2020 19:48:23,12-Aug-2020 19:48:23,Book Closure,1
12-Aug-2020 19:44:45,12-Aug-2020 19:44:45,Dividend Updates,1
06-Feb-2020 18:52:00,06-Feb-2020 18:52:00,Dividend,1
06-Feb-2020 18:37:00,06-Feb-2020 18:37:00,Record Date,1
18-Jan-2020 12:02:00,18-Jan-2020 12:02:00,Updates,1
13-Nov-2019 09:23:00,13-Nov-2019 09:23:00,Dividend,1
13-Nov-2019 09:21:00,13-Nov-2019 09:21:00,Record Date,1
17-Jun-2019 17:14:00,17-Jun-2019 17:14:00,Updates,1
08-Feb-2019 08:42:00,08-Feb-2019 08:42:00,Record Date,1
08-Feb-2019 08:37:00,08-Feb-2019 08:37:00,Dividend,1
12-Nov-2018 19:45:00,12-Nov-2018 19:45:00,Record Date,1
12-Nov-2018 19:44:00,12-Nov-2018 19:44:00,Dividend,1
07-Feb-2018 18:02:00,07-Feb-2018 18:02:00,Record Date,1
07-Feb-2018 17:59:00,07-Feb-2018 17:59:00,Dividend,1
09-Nov-2017 19:52:00,09-Nov-2017 19:52:00,Record Date,1
09-Nov-2017 19:51:00,09-Nov-2017 19:51:00,Dividend,1
25-Sep-2017 11:40:00,25-Sep-2017 11:40:00,Updates,1
30-May-2017 08:57:00,30-May-2017 08:57:00,Record Date,1
