bcEndDate,bcStartDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol,company_name,caBroadcastDate,ca_source
-,-,Power Grid Corporation of India Limited,09-Feb-2026,10,-,INE752E01010,-,-,09-Feb-2026,EQ,Interim Dividend - Rs 3.25 Per Share,POWERGRID,Power Grid Corporation of India Ltd.,,
-,-,Power Grid Corporation of India Limited,10-Nov-2025,10,-,INE752E01010,-,-,10-Nov-2025,EQ,Interim Dividend - Rs 4.50 Per Share,POWERGRID,Power Grid Corporation of India Ltd.,,
-,-,Power Grid Corporation of India Limited,19-Aug-2025,10,-,INE752E01010,-,-,19-Aug-2025,EQ,Dividend - Rs 1.25 Per Share,POWERGRID,Power Grid Corporation of India Ltd.,,
-,-,Power Grid Corporation of India Limited,07-Feb-2025,10,-,INE752E01010,-,-,07-Feb-2025,EQ,Interim Dividend - Rs 3.25 Per Share,POWERGRID,Power Grid Corporation of India Ltd.,,
-,-,Power Grid Corporation of India Limited,14-Nov-2024,10,-,INE752E01010,-,-,14-Nov-2024,EQ,Interim Dividend - Rs 4.50 Per Share,POWERGRID,Power Grid Corporation of India Ltd.,,
-,-,Power Grid Corporation of India Limited,16-Aug-2024,10,-,INE752E01010,-,-,16-Aug-2024,EQ,Annual General Meeting/Dividend - Rs 2.75 Per Share,POWERGRID,Power Grid Corporation of India Ltd.,,
-,-,Power Grid Corporation of India Limited,15-Feb-2024,10,-,INE752E01010,-,-,15-Feb-2024,EQ,Interim Dividend - Rs 4.50 Per Share,POWERGRID,Power Grid Corporation of India Ltd.,,
-,-,Power Grid Corporation of India Limited,16-Nov-2023,10,-,INE752E01010,-,-,16-Nov-2023,EQ,Interim Dividend - Rs 4 Per Share,POWERGRID,Power Grid Corporation of India Ltd.,,
-,-,Power Grid Corporation of India Limited,12-Sep-2023,10,-,INE752E01010,-,-,12-Sep-2023,EQ,Bonus 1:3,POWERGRID,Power Grid Corporation of India Ltd.,,
-,-,Power Grid Corporation of India Limited,08-Aug-2023,10,-,INE752E01010,-,-,08-Aug-2023,EQ,Dividend - Rs 4.75 Per Share,POWERGRID,Power Grid Corporation of India Ltd.,,
