broadCastDate,relatingTo,consolidated,audited,fromDate,toDate,xbrl
29-Jul-2026 18:24:28,Quarterly Financial Results,Audited,Audited,29-Jul-2026 18:24:28,29-Jul-2026 18:24:28,
29-Jul-2026 17:49:41,Quarterly Financial Results,Audited,Audited,29-Jul-2026 17:49:41,29-Jul-2026 17:49:41,
29-Jul-2026 17:22:42,Quarterly Financial Results,Audited,Audited,29-Jul-2026 17:22:42,29-Jul-2026 17:22:42,
29-Apr-2026 18:18:23,Quarterly Financial Results,Audited,Audited,29-Apr-2026 18:18:23,29-Apr-2026 18:18:23,
29-Apr-2026 18:05:20,Quarterly Financial Results,Audited,Audited,29-Apr-2026 18:05:20,29-Apr-2026 18:05:20,
04-Feb-2026 20:00:28,Quarterly Financial Results,Audited,Audited,04-Feb-2026 20:00:28,04-Feb-2026 20:00:28,
07-Nov-2025 19:12:57,Quarterly Financial Results,Audited,Audited,07-Nov-2025 19:12:57,07-Nov-2025 19:12:57,
23-Jul-2025 18:49:22,Quarterly Financial Results,Audited,Audited,23-Jul-2025 18:49:22,23-Jul-2025 18:49:22,
25-Apr-2025 19:00:54,Quarterly Financial Results,Audited,Audited,25-Apr-2025 19:00:54,25-Apr-2025 19:00:54,
10-Feb-2025 17:49:10,Quarterly Financial Results,Audited,Audited,10-Feb-2025 17:49:10,10-Feb-2025 17:49:10,
29-Oct-2024 17:39:39,Quarterly Financial Results,Audited,Audited,29-Oct-2024 17:39:39,29-Oct-2024 17:39:39,
30-Jul-2024 14:18:04,Quarterly Financial Results,Audited,Audited,30-Jul-2024 14:18:04,30-Jul-2024 14:18:04,
30-Jul-2024 14:16:06,Quarterly Financial Results,Audited,Audited,30-Jul-2024 14:16:06,30-Jul-2024 14:16:06,
26-Apr-2024 15:30:47,Quarterly Financial Results,Audited,Audited,26-Apr-2024 15:30:47,26-Apr-2024 15:30:47,
29-Mar-2024 14:29:52,Quarterly Financial Results,Audited,Audited,29-Mar-2024 14:29:52,29-Mar-2024 14:29:52,
