SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NIFTY 50","24,216.05","24,262.20","24,135.65","24,238.50","24,187.70","-","-50.8","-0.21","315560285","28,361.41","26,373.20","22,182.55","0.73","-3.6"
"HDFCBANK","769.15","772.50","760.10","777.60","761.50","-","-16.1","-2.07","42246009","3,233.76","1,020.50","726.65","-2.35","-23.87"
"ICICIBANK","1,470.00","1,473.90","1,456.60","1,460.20","1,463.10","-","2.9","0.2","18269907","2,674.53","1,500.00","1,187.60","8.66","-0.18"
"AXISBANK","1,245.00","1,267.70","1,244.50","1,256.00","1,256.50","-","0.5","0.04","15014867","1,886.62","1,418.30","1,042.50","-7.47","14.27"
"RELIANCE","1,321.00","1,326.90","1,302.70","1,323.10","1,304.60","-","-18.5","-1.4","12753410","1,670.07","1,611.80","1,253.20","-0.37","-8.68"
"SBIN","1,056.20","1,067.00","1,042.80","1,060.00","1,044.30","-","-15.7","-1.48","10514887","1,106.56","1,234.70","786.55","0.89","26.7"
"INFY","1,080.00","1,094.50","1,067.20","1,087.10","1,070.60","-","-16.5","-1.52","9485229","1,019.38","1,728.00","982.40","1.83","-32.42"
"ULTRACEMCO","12,070.00","12,126.00","11,926.00","11,903.00","12,075.00","-","172","1.45","830840","1,000.84","13,110.00","10,325.00","6.23","-3.99"
"BHARTIARTL","1,946.40","1,952.00","1,938.70","1,940.10","1,949.00","-","8.9","0.46","5061312","985.23","2,174.50","1,740.50","2","2.08"
"BAJAJ-AUTO","10,525.00","10,560.00","10,342.50","10,522.50","10,426.00","-","-96.5","-0.92","834319","873.04","10,834.00","7,858.50","3.58","23.55"
"SHRIRAMFIN","1,036.00","1,067.40","1,031.00","1,035.40","1,064.10","-","28.7","2.77","7633092","808.62","1,108.00","566.50","6.21","62.3"
"BAJFINANCE","1,064.00","1,074.40","1,060.90","1,064.00","1,071.00","-","7","0.66","6970658","744.75","1,102.50","787.90","11.35","12.92"
"KOTAKBANK","383.00","386.95","381.05","382.05","386.00","-","3.95","1.03","17152911","659.79","453.20","345.50","-3.32","-10.86"
"ETERNAL","286.00","288.10","283.60","286.95","287.60","-","0.65","0.23","22178874","632.65","368.45","212.60","8.82","5.85"
"HCLTECH","1,219.00","1,240.70","1,217.20","1,221.30","1,238.90","-","17.6","1.44","4642320","572.43","1,780.10","1,030.00","9.47","-19.05"
"M&M","3,153.80","3,212.00","3,143.00","3,165.50","3,210.00","-","44.5","1.41","1776773","564.91","3,839.90","2,896.00","4.4","-1.13"
"LT","3,839.00","3,859.50","3,815.70","3,838.80","3,852.00","-","13.2","0.34","1393919","534.90","4,440.00","3,288.10","-8.49","9.97"
"TCS","2,245.10","2,259.90","2,218.50","2,251.10","2,219.00","-","-32.1","-1.43","2382160","531.21","3,350.00","1,976.80","4.42","-29.74"
"INDIGO","5,249.00","5,325.00","5,234.00","5,229.00","5,287.00","-","58","1.11","920977","487.46","6,232.50","3,895.20","5.29","-10.05"
"HINDALCO","944.15","956.30","941.00","947.80","955.00","-","7.2","0.76","4965762","470.74","1,176.00","657.50","-5.45","39.89"
"MARUTI","13,520.00","13,655.00","13,348.00","13,514.00","13,640.00","-","126","0.93","341101","459.17","17,370.00","12,201.00","1.83","9.96"
"TECHM","1,577.00","1,614.60","1,572.00","1,576.40","1,577.40","-","1","0.06","2624717","417.59","1,854.00","1,304.10","11.9","2.18"
"JIOFIN","239.48","241.20","236.71","238.92","240.55","-","1.63","0.68","17460387","416.66","338.60","223.30","-1.6","-24.18"
"TATASTEEL","186.75","188.10","184.70","186.41","187.30","-","0.89","0.48","21618426","403.03","224.40","152.51","-5.86","14.89"
"EICHERMOT","7,590.00","7,710.00","7,565.00","7,563.50","7,694.00","-","130.5","1.73","451075","344.32","8,230.00","5,353.00","1.09","38.43"
"BAJAJFINSV","1,855.00","1,904.80","1,850.40","1,861.50","1,900.70","-","39.2","2.11","1668696","315.08","2,195.00","1,597.00","7.42","-7.46"
"ONGC","250.01","251.69","248.46","249.58","249.75","-","0.17","0.07","12240171","305.97","307.50","227.65","1.42","1.92"
"ADANIENT","3,175.20","3,213.50","3,170.00","3,183.30","3,180.00","-","-3.3","-0.1","951463","303.87","3,245.00","1,753.00","4.66","25.04"
