exDate,recDate,subject,faceVal
17-Jul-2026 16:33:47,17-Jul-2026 16:33:47,Record Date,1
29-Apr-2026 14:15:58,29-Apr-2026 14:15:58,Dividend,1
31-Jul-2025 17:23:16,31-Jul-2025 17:23:16,Record Date,1
30-Jul-2025 19:50:31,30-Jul-2025 19:50:31,Record Date,1
30-Apr-2025 19:19:48,30-Apr-2025 19:19:48,Outcome of Board Meeting,1
30-Apr-2025 16:39:57,30-Apr-2025 16:39:57,Dividend,1
06-Aug-2024 20:25:55,06-Aug-2024 20:25:55,Book Closure,1
02-May-2024 12:40:26,02-May-2024 12:40:26,Dividend,1
05-May-2023 13:08:20,05-May-2023 13:08:20,Dividend,1
06-Jul-2022 00:27:27,06-Jul-2022 00:27:27,Book Closure,1
06-May-2022 13:41:27,06-May-2022 13:41:27,Dividend,1
06-May-2022 13:41:24,06-May-2022 13:41:24,Outcome of Board Meeting,1
18-Jun-2021 00:08:04,18-Jun-2021 00:08:04,Book Closure,1
04-Jul-2019 09:07:00,04-Jul-2019 09:07:00,AGM/Book Closure,1
06-May-2019 10:10:00,06-May-2019 10:10:00,Dividend,1
19-Jul-2018 14:17:00,19-Jul-2018 14:17:00,AGM/Book Closure,1
09-May-2018 16:57:00,09-May-2018 16:57:00,Dividend,1
31-Oct-2017 17:21:00,31-Oct-2017 17:21:00,Updates,1
20-Jun-2017 10:27:00,20-Jun-2017 10:27:00,AGM/Book Closure,1
28-Apr-2017 13:24:00,28-Apr-2017 13:24:00,Dividend,1
18-Jul-2016 15:34:00,18-Jul-2016 15:34:00,AGM/Book Closure,1
02-May-2016 08:34:00,02-May-2016 08:34:00,Dividend,1
19-May-2015 15:05:00,19-May-2015 15:05:00,AGM/Book Closure,1
18-May-2015 07:52:00,18-May-2015 07:52:00,Bonus,1
29-Apr-2015 14:52:00,29-Apr-2015 14:52:00,Dividend,1
24-Jun-2014 17:08:00,24-Jun-2014 17:08:00,AGM/Book Closure,1
29-Apr-2014 17:08:00,29-Apr-2014 17:08:00,Dividend,1
02-Jul-2013 10:44:00,02-Jul-2013 10:44:00,AGM/Book Closure,1
29-Apr-2013 10:16:00,29-Apr-2013 10:16:00,Dividend,1
12-Jul-2012 12:29:00,12-Jul-2012 12:29:00,AGM / Book Closure,1
11-May-2012 13:23:00,11-May-2012 13:23:00,Dividend,1
04-Aug-2011 12:45:00,04-Aug-2011 12:45:00,AGM / Book Closure,1
06-May-2011 18:36:00,06-May-2011 18:36:00,Dividend,1
30-Aug-2010 15:40:00,30-Aug-2010 15:40:00,Date of payment of dividend,1
16-Aug-2010 12:31:00,16-Aug-2010 12:31:00,AGM/Book Closure,1
14-May-2010 12:58:00,14-May-2010 12:58:00,Dividend,1
03-Aug-2009 14:16:00,03-Aug-2009 14:16:00,Date of Payment of Dividend,1
03-Aug-2009 12:13:00,03-Aug-2009 12:13:00,AGM/Book Closure,1
22-May-2009 13:43:00,22-May-2009 13:43:00,Dividend,1
10-Jul-2008 19:00:00,10-Jul-2008 19:00:00,Payment of Dividend,1
23-Jun-2008 17:52:00,23-Jun-2008 17:52:00,AGM/Book Closure,1
23-May-2008 13:56:00,23-May-2008 13:56:00,Dividend,1
06-Aug-2007 13:36:00,06-Aug-2007 13:36:00,AGM/Book Closure,1
18-May-2007 13:55:00,18-May-2007 13:55:00,Dividend,1
25-Aug-2006 00:00:00,25-Aug-2006 00:00:00,AGM/Book Closure,1
19-May-2006 00:00:00,19-May-2006 00:00:00,Dividend,1
26-Aug-2005 00:00:00,26-Aug-2005 00:00:00,AGM/Book Closure,1
30-May-2005 00:00:00,30-May-2005 00:00:00,Dividend,1
28-Sep-2004 00:00:00,28-Sep-2004 00:00:00,Outcome of AGM,1
