bcEndDate,bcStartDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol,company_name,caBroadcastDate,ca_source
-,-,Cipla Limited,05-Jun-2026,2,-,INE059A01026,-,-,05-Jun-2026,EQ,Dividend - Rs 13 Per Share,CIPLA,Cipla Ltd.,,
-,-,Cipla Limited,27-Jun-2025,2,-,INE059A01026,-,-,27-Jun-2025,EQ,Dividend - Rs 13 Per Share/Special Dividend - Rs 3 Per Share,CIPLA,Cipla Ltd.,,
-,-,Cipla Limited,02-Aug-2024,2,-,INE059A01026,-,-,02-Aug-2024,EQ,Dividend - Rs 13 Per Share,CIPLA,Cipla Ltd.,,
-,-,Cipla Limited,21-Jul-2023,2,-,INE059A01026,-,-,21-Jul-2023,EQ,Dividend - Rs 8.50 Per Share,CIPLA,Cipla Ltd.,,
-,-,Cipla Limited,08-Aug-2022,2,-,INE059A01026,-,-,10-Aug-2022,EQ,Dividend - Rs 5 Per Share,CIPLA,Cipla Ltd.,,
25-Aug-2021,11-Aug-2021,Cipla Limited,09-Aug-2021,2,-,INE059A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 5 Per Share,CIPLA,Cipla Ltd.,,
27-Aug-2020,13-Aug-2020,Cipla Limited,11-Aug-2020,2,-,INE059A01026,-,-,-,EQ, Annual General Meeting,CIPLA,Cipla Ltd.,,
-,-,Cipla Limited,19-Mar-2020,2,-,INE059A01026,-,-,20-Mar-2020,EQ, Interim Dividend - Rs 3 Per Share Special Dividend - Re 1 Per Share,CIPLA,Cipla Ltd.,,
16-Aug-2019,02-Aug-2019,Cipla Limited,31-Jul-2019,2,-,INE059A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 3 Per Share,CIPLA,Cipla Ltd.,,
30-Aug-2018,16-Aug-2018,Cipla Limited,13-Aug-2018,2,-,INE059A01026,-,-,-,EQ, Annual General Meeting/Dividend- Rs 3 Per Share,CIPLA,Cipla Ltd.,,
11-Aug-2017,28-Jul-2017,Cipla Limited,26-Jul-2017,2,-,INE059A01026,-,-,-,EQ, Annual General Meeting/Dividend - Rs 2/- Per Share,CIPLA,Cipla Ltd.,,
28-Sep-2016,15-Sep-2016,Cipla Limited,12-Sep-2016,2,-,INE059A01026,-,-,-,EQ, Annual General Meeting/Dividend Rs 2/- Per Share,CIPLA,Cipla Ltd.,,
27-Aug-2015,13-Aug-2015,Cipla Limited,11-Aug-2015,2,-,INE059A01026,-,-,-,EQ,Annual General Meeting/Dividend - Rs 2/- Per Share,CIPLA,Cipla Ltd.,,
22-Aug-2014,08-Aug-2014,Cipla Limited,06-Aug-2014,2,-,INE059A01026,-,-,-,EQ,Annual General Meeting/Dividend Rs 2/- Per Equity Share,CIPLA,Cipla Ltd.,,
22-Aug-2013,08-Aug-2013,Cipla Limited,06-Aug-2013,2,-,INE059A01026,-,-,-,EQ,Annual General Meeting/Dividend Rs 2/- Per Equity Share,CIPLA,Cipla Ltd.,,
17-Aug-2012,03-Aug-2012,Cipla Limited,01-Aug-2012,2,-,INE059A01026,-,-,-,EQ,Annual General Meeting And Dividend - Rs.2/- Per Share,CIPLA,Cipla Ltd.,,
25-Aug-2011,11-Aug-2011,Cipla Limited,09-Aug-2011,2,-,INE059A01026,-,-,-,EQ,Annual General Meeting And Dividend Rs.2/- Per Share,CIPLA,Cipla Ltd.,,
-,-,Cipla Limited,03-Sep-2010,2,-,INE059A01026,-,-,06-Sep-2010,EQ,Special Interim Dividend Re.0.80 Per Share,CIPLA,Cipla Ltd.,,
30-Jul-2010,27-Jul-2010,Cipla Limited,23-Jul-2010,2,-,INE059A01026,-,-,-,EQ,Annual General Meeting And Dividend Rs.2/- Per Share,CIPLA,Cipla Ltd.,,
26-Aug-2009,12-Aug-2009,Cipla Limited,10-Aug-2009,2,-,INE059A01026,-,-,-,EQ,Agm/Div-Rs.2/- Per Share,CIPLA,Cipla Ltd.,,
,,CIPLA,12-Aug-2008,,,,,,12-Aug-2008,,Dividend - Rs 2.0 Per Share,CIPLA,CIPLA,,yahoo
,,CIPLA,08-Aug-2007,,,,,,08-Aug-2007,,Dividend - Rs 2.0 Per Share,CIPLA,CIPLA,,yahoo
